county,fips,"low risk 0-4","low risk 5-24","low risk 25-49","low risk 50-64","low risk 65+","high risk 0-4","high risk 5-24","high risk 25-49","high risk 50-64","high risk 65+","first responder 0-4","first responder 5-24","first responder 25-49","first responder 50-64","first responder 65+","pregnant 0-4","pregnant 5-24","pregnant 25-49","pregnant 50-64","pregnant 65+"
Clay,77,554,2146,2421,1691,903,48,319,601,859,1016,0,0,67,0,0,0,49,78,0,0
Cochran,79,228,820,681,369,219,20,109,161,188,246,0,0,24,0,0,0,31,31,0,0
Coke,81,153,606,654,472,405,13,85,167,240,457,0,0,29,0,0,0,19,20,0,0
Coleman,83,461,1746,1806,1354,910,40,239,436,688,1024,0,0,58,0,0,0,60,73,0,0
Collin,85,54119,189936,236023,85874,28244,4730,28593,55679,43660,31804,0,0,8594,0,0,0,3947,11138,0,0
Collingsworth,87,235,692,660,376,257,21,91,148,191,289,0,0,29,0,0,0,28,40,0,0
Colorado,89,1219,4398,4281,3059,1900,107,611,1025,1555,2140,0,0,229,0,0,0,143,207,0,0
Comal,91,5712,23052,25124,16605,7928,499,3330,6035,8442,8927,0,0,1077,0,0,0,619,1122,0,0
Comanche,93,863,2954,2920,1854,1375,75,406,696,943,1548,0,0,109,0,0,0,100,131,0,0
Concho,95,148,587,1465,511,263,13,87,388,260,297,0,0,33,0,0,0,14,21,0,0
Cooke,97,2471,8955,8474,5231,2869,216,1255,2016,2660,3231,0,0,378,0,0,0,279,402,0,0
Coryell,99,6149,20321,22655,6523,2674,538,2866,5412,3316,3010,0,0,418,0,0,0,616,890,0,0
Cottle,101,72,306,290,213,168,6,40,66,109,190,0,0,15,0,0,0,13,17,0,0
Crane,103,308,1147,1079,520,232,27,160,256,265,261,0,0,36,0,0,0,36,48,0,0
Crockett,105,273,802,864,528,256,24,94,199,269,289,0,0,32,0,0,0,43,46,0,0
Crosby,107,464,1434,1276,753,498,41,185,301,383,560,0,0,44,0,0,0,61,59,0,0
Culberson,109,165,595,527,310,167,14,85,127,158,187,0,0,23,0,0,0,17,23,0,0
Dallam,111,574,1714,1803,723,296,50,218,418,367,333,0,0,44,0,0,0,76,87,0,0
Dallas,113,177338,595641,673226,249691,97821,15500,79944,154183,126947,110151,0,0,28187,0,0,0,22103,37407,0,0
Dawson,115,970,3229,3774,1439,909,85,449,923,732,1024,0,0,68,0,0,0,104,127,0,0
Deaf Smith,117,1693,5338,4650,2002,1046,148,722,1074,1018,1178,0,0,89,0,0,0,193,221,0,0
Delta,119,284,1081,1110,770,488,25,138,259,392,549,0,0,34,0,0,0,47,54,0,0
Denton,121,45788,172857,199193,69013,21657,4002,25529,46795,35088,24386,0,0,5189,0,0,0,4086,9031,0,0
Dewitt,123,1142,3954,4702,2840,1729,100,545,1171,1444,1948,0,0,217,0,0,0,132,173,0,0
Dickens,125,121,461,589,335,226,11,67,150,170,255,0,0,28,0,0,0,12,19,0,0
Dimmit,127,753,2606,2169,1244,667,66,360,507,632,752,0,0,54,0,0,0,86,100,0,0
Donley,129,187,868,718,479,366,16,126,177,244,412,0,0,33,0,0,0,23,28,0,0
Duval,131,776,2885,2766,1379,889,68,376,654,701,1002,0,0,52,0,0,0,118,116,0,0
Eastland,133,1024,4195,3741,2581,1735,90,588,910,1312,1954,0,0,165,0,0,0,131,157,0,0
Ector,135,11104,36800,33849,15176,6563,971,4828,7978,7716,7391,0,0,1578,0,0,0,1477,1699,0,0
Edwards,137,105,384,391,324,206,9,50,90,164,231,0,0,12,0,0,0,16,20,0,0
Ellis,139,10060,38975,38539,18247,7029,879,5556,9126,9277,7916,0,0,1166,0,0,0,1121,1719,0,0
El Paso,141,59427,226771,200183,82625,38674,5194,30900,45583,42008,43549,0,0,6822,0,0,0,7951,10960,0,0
Erath,143,2204,11456,8368,4098,2248,193,1658,2028,2084,2531,0,0,361,0,0,0,305,356,0,0
Falls,145,983,3817,4619,2296,1352,86,522,1134,1168,1523,0,0,84,0,0,0,132,150,0,0
Fannin,147,1822,7106,8310,4558,2712,159,1020,2088,2318,3053,0,0,306,0,0,0,197,266,0,0
Fayette,149,1266,4736,5076,3727,2478,111,690,1246,1895,2791,0,0,217,0,0,0,121,200,0,0
Fisher,151,202,798,817,570,416,18,111,198,290,468,0,0,27,0,0,0,26,33,0,0
Floyd,153,453,1567,1367,772,539,40,209,330,393,606,0,0,52,0,0,0,60,58,0,0
Foard,155,52,271,280,180,150,5,38,72,92,169,0,0,11,0,0,0,8,8,0,0
Fort Bend,157,40232,150409,162442,73138,20111,3516,22616,37412,37185,22647,0,0,4364,0,0,0,3152,8151,0,0
Franklin,159,643,2334,2246,1464,932,56,337,559,744,1049,0,0,97,0,0,0,63,81,0,0
