"fips","0-4","5-24","25-49","50-64","65+"
131,985,3881,3760,1985,1769
133,1184,4716,4938,3571,3877
135,11698,39662,41868,20635,14358
137,99,532,484,360,416
139,10796,44550,49983,24362,12936
141,72041,237460,260578,104291,73107
143,2367,12311,10957,5315,4198
145,1100,5449,5426,3059,2847
147,1979,9432,11184,6317,5482
149,1419,5975,6640,5053,4856
151,199,1048,1139,828,957
153,580,2301,2029,1187,1155
155,71,396,362,274,364
157,31749,165879,179146,101165,32929
159,593,2685,2939,2214,2163
161,1247,5133,6316,3722,3154
163,1315,5101,5533,2600,1830
165,1443,5191,4518,2321,1700
167,20453,79068,99659,54097,32116
169,349,1450,1616,862,785
171,1209,5360,5710,5634,6311
173,77,393,357,224,168
175,439,1951,1995,1545,1324
177,1541,5550,5809,3240,3058
179,1366,5963,7128,4010,4063
181,7990,31441,39239,22377,17563
183,9079,33457,39496,20274,15858
185,1662,6455,8220,5049,3500
187,7152,35423,39865,20842,13085
189,3104,11478,11423,5080,4431
191,255,1051,907,612,757
193,486,2174,2224,1678,1946
195,440,1547,1478,860,791
197,267,1186,1161,886,879
199,3237,14910,16611,9731,6670
201,335912,1137635,1536666,589482,291725
203,4018,18186,20915,12524,8457
205,357,1306,2195,1060,699
207,373,1416,1349,1102,1356
209,9291,44659,52470,22591,10688
211,260,1000,941,739,588
213,4811,20133,23351,16028,14839
215,78875,253481,237581,85967,64036
217,2457,9659,10298,6761,5993
219,1831,6763,7047,3690,2923
221,2663,12024,14545,11210,9772
223,2410,9418,10533,6283,5391
225,1324,5783,7433,4721,4318
227,2215,8227,11663,5858,4727
229,197,1199,1043,554,467
231,5704,23374,29404,14870,10352
233,1633,6505,6651,4459,3463
235,56,453,500,353,361
237,520,2477,2901,1545,1396
239,1080,4176,4489,2702,2285
241,2373,9438,10920,6791,5703
243,121,649,679,650,544
245,17121,71049,86211,40743,30979
247,384,1634,1454,835,774
249,3367,13381,12440,6796,5267
251,10770,47311,53723,26484,16061
253,1073,5962,7143,3240,2901
255,883,4034,6133,2371,2021
257,6831,29105,33834,16593,10135
259,1677,8930,9294,7395,4520
261,24,107,110,61,62
263,30,170,186,168,261
265,2659,11268,11918,9384,12275
267,292,1130,1153,1039,1035
269,10,115,101,78,52
271,210,888,747,546,904
273,2452,9204,10850,4469,3395
